k	i	perplexity
4	10	10843.65511057866057287841
4	5	11634.11083341074020291416
4	15	11525.00940080674914677486
4	20	11395.45227207207936969895
6	10	10337.93794927417601843102
6	5	10036.32857973415747529763
6	15	10686.74859956329818399295
6	20	10096.82176232048421364263
8	5	9393.23341082723548375736
8	10	9600.35642824133059366460
8	15	9498.61210965011392997053
8	20	9653.79400101552395299629
10	10	9132.06067898274661280048
10	15	9052.95300906200685591669
10	20	8779.88579112555880802706
10	5	9240.85802256246242027012
12	5	8771.88543299387856894620
12	10	8000.0
12	15	8506.08439373319938935579
12	20	8481.35151059495581793669
14	10	8388.07078644623157744526
14	5	8120.30294447517814753878
14	15	8260.63007556098280876690
14	20	8157.62311153370169613375
16	10	8071.75882255067699766093
16	5	7920.58450747518635060926
16	15	7858.22688304644616191402
16	20	7949.08092677359299974954
18	10	7778.75028741084875650938
18	5	7940.95879858281268281327
18	15	7836.89944609079461669531
18	20	7758.74933113406596704503
