"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
146,11,"ARG","Argentina",1,"Buenos Aires","","Baires|Buenos Ayres","Provincia","Province"
147,11,"ARG","Argentina",2,"Catamarca","","","Provincia","Province"
148,11,"ARG","Argentina",3,"Chaco","","El Chaco|Presidente Juan Peron","Provincia","Province"
149,11,"ARG","Argentina",4,"Chubut","","","Provincia","Province"
150,11,"ARG","Argentina",5,"Ciudad de Buenos Aires","","BUENOS AIRES D.F.|Capital Federal|Distretto Federale|Distrito Federal|Federal Capital","Distrito Federal","Federal District"
151,11,"ARG","Argentina",6,"Córdoba","","Cordova","Provincia","Province"
152,11,"ARG","Argentina",7,"Corrientes","","","Provincia","Province"
153,11,"ARG","Argentina",8,"Entre Ríos","","Entre-Rios","Provincia","Province"
154,11,"ARG","Argentina",9,"Formosa","","","Provincia","Province"
155,11,"ARG","Argentina",10,"Jujuy","","","Provincia","Province"
156,11,"ARG","Argentina",11,"La Pampa","","El Pampa|Eva Perón","Provincia","Province"
157,11,"ARG","Argentina",12,"La Rioja","","","Provincia","Province"
158,11,"ARG","Argentina",13,"Mendoza","","","Provincia","Province"
159,11,"ARG","Argentina",14,"Misiones","","Missões","Provincia","Province"
160,11,"ARG","Argentina",15,"Neuquén","","Neuquén","Provincia","Province"
161,11,"ARG","Argentina",16,"Río Negro","","","Provincia","Province"
162,11,"ARG","Argentina",17,"Salta","","","Provincia","Province"
163,11,"ARG","Argentina",18,"San Juan","","","Provincia","Province"
164,11,"ARG","Argentina",19,"San Luis","","","Provincia","Province"
165,11,"ARG","Argentina",20,"Santa Cruz","","","Provincia","Province"
166,11,"ARG","Argentina",21,"Santa Fe","","Santa Fé","Provincia","Province"
167,11,"ARG","Argentina",22,"Santiago del Estero","","","Provincia","Province"
168,11,"ARG","Argentina",23,"Tierra del Fuego","","Feuerland|Terra del Fuoco|Terre de Feu|Terra do Fogo|Tierra del Fuego|Antártida e Islas del Atlántico Sur","Territorio Nacional|Provincia","National Territory"
169,11,"ARG","Argentina",24,"Tucumán","","Tucumão","Provincia","Province"
