20031,0,0,0,0,0,8
20033,0,0,0,0,0,8
20034,0,0,0,0,0,8
20041,0,0,0,0,0,8
20042,0,0,0,0,0,8
20043,0,0,0,0,0,8
20044,0,0,0,0,0,8
20051,0,0,0,0,0,8
20052,0,0,0,0,0,8
20053,0,0,0,0,0,8
20054,0,0,0,0,0,8
20061,0,0,0,0,0,8
20062,0,0,0,0,0,8
20071,7.9,39.4,1.0,36.3,5.5,8
20072,5.7,39.0,2.3,36.8,7.0,8
20073,6.7,38.5,1.3,35.9,6.5,8
20074,6.1,37.8,1.3,35.5,6.3,8
20081,6.9,38.0,1.9,35.3,4.5,8
20082,6.8,38.3,1.5,35.7,6.6,8
20083,6.9,37.0,0.8,34.4,6.7,8
20084,5.5,38.8,1.5,36.6,4.8,8
20091,7.5,38.1,2.2,35.2,9.3,8
20092,6.5,39.4,1.7,36.9,6.1,8
20093,6.9,38.0,0.9,35.4,6.9,8
20094,5.6,40.5,2.4,38.2,5.4,8
20101,10.6,41.0,0.7,36.7,5.9,8
20102,10.5,41.7,3.3,37.3,8.5,8
20103,6.0,39.7,3.0,37.4,9.1,8
20104,4.2,39.0,0.9,37.4,7.4,8
20111,7.4,37.6,1.5,34.8,6.5,8
20112,6.7,41.3,1.2,38.6,5.6,8
20113,5.1,38.9,0.7,36.9,5.1,8
20114,5.1,38.5,1.5,36.6,3.7,8
20121,5.9,37.9,1.9,35.7,5.8,8
20122,5.5,40.8,1.5,38.5,8.9,8
20123,4.5,39.2,0.9,37.4,6.5,8
20124,2.9,36.1,1.1,35.1,5.2,8
20131,7.2,36.1,0.7,33.5,4.6,8
20032,0,0,0,0,0,8
20063,9.3,41.2,3.4,37.4,6.9,8
20064,6.2,40.9,2.4,38.4,5.8,8
